ltv,cac,payback_months,net_value,recession_hit
32.4228240770187,37.53547493516394,999.0,-5.112650858145237,0.0
42.870264068492126,33.24121340422023,24.0,9.629050664271894,1.0
27.836499969099172,65.79106702019386,999.0,-37.95456705109469,1.0
14.84535570829179,55.66127735409043,999.0,-40.81592164579864,0.0
70.01384671377839,45.01257649435965,20.0,25.001270219418743,0.0
51.82455835074169,132.6544518206682,999.0,-80.82989346992653,0.0
28.70802168443332,41.52409894564214,999.0,-12.816077261208818,0.0
29.58005297654015,50.91645970142853,999.0,-21.33640672488838,0.0
90.27869739588724,90.01860708970821,32.0,0.2600903061790234,1.0
25.70354827997545,74.095467040891,999.0,-48.391918760915544,1.0
32.115838277217286,112.30790670485817,999.0,-80.19206842764089,0.0
59.487283458576314,50.71962550982994,27.0,8.767657948746375,0.0
75.28538112908058,56.966969916832866,23.0,18.31841121224771,0.0
38.31421810434988,42.491902012449344,35.0,-4.177683908099468,1.0
31.53043715500402,71.60526607115864,999.0,-40.074828916154615,1.0
38.87990643313605,43.890243621685116,36.0,-5.010337188549066,0.0
67.0736406703698,33.984012023931434,16.0,33.08962864643836,0.0
63.5423991686508,26.838401316510314,12.0,36.70399785214049,0.0
24.170152263569243,103.18356639054484,999.0,-79.01341412697559,0.0
45.910558983033134,67.1505329713013,999.0,-21.23997398826817,1.0
20.71603427853817,27.917092828334166,999.0,-7.201058549795995,0.0
60.289590157115406,53.06995371237417,27.0,7.219636444741234,0.0
51.957525575330855,74.2966893921279,999.0,-22.339163816797047,0.0
27.350355648924243,82.08908580039413,999.0,-54.73873015146989,1.0
86.15361163955981,35.782169470432294,13.0,50.37144216912752,0.0
52.038225527860256,49.10029952359933,30.0,2.937926004260923,0.0
42.52310688149521,70.5446118312284,999.0,-28.021504949733185,0.0
39.01069773106238,68.371545241811,999.0,-29.360847510748627,0.0
44.34244934120324,50.79805844524603,999.0,-6.455609104042786,0.0
34.3205337543924,72.15016612986948,999.0,-37.829632375477075,1.0
32.954310387709135,89.81436070977948,999.0,-56.86005032207034,1.0
74.78303163658413,77.05573751632295,33.0,-2.2727058797388224,0.0
33.024726982878114,64.09100674662157,999.0,-31.06627976374346,0.0
36.98936703052256,36.19604782494752,31.0,0.7933192055750382,0.0
40.17502935067727,45.35181539399148,36.0,-5.176786043314209,1.0
81.79537610614496,57.304265909941336,22.0,24.49111019620362,0.0
62.47673850751632,43.09641821625619,20.0,19.380320291260134,0.0
28.907987932852855,56.795971477207615,999.0,-27.88798354435476,0.0
78.51555767399617,70.24136944213853,28.0,8.274188231857636,0.0
48.707455371063034,77.33804120238108,999.0,-28.630585831318044,0.0
31.066716240225123,37.83237538244279,999.0,-6.765659142217668,0.0
35.922359965074314,97.0118926789191,999.0,-61.08953271384478,1.0
70.40616845039106,49.28203265292397,21.0,21.124135797467098,0.0
118.69097511052233,27.37771855638912,8.0,91.3132565541332,0.0
47.514753310038074,35.41380040533767,23.0,12.100952904700407,1.0
30.790543891349934,44.62862837542654,999.0,-13.838084484076603,1.0
42.134473171643045,94.52590083268724,999.0,-52.3914276610442,0.0
28.578664485695334,62.492362044966306,999.0,-33.91369755927097,1.0
24.650121731964145,103.40240931060781,999.0,-78.75228757864366,1.0
32.912414676393986,56.379648856890185,999.0,-23.4672341804962,0.0
36.27468143144748,48.12726661866117,999.0,-11.852585187213684,1.0
45.31136992022447,98.24580569773472,999.0,-52.93443577751025,0.0
39.939681214493646,55.45523498106119,999.0,-15.515553766567542,0.0
38.705962664148004,74.91600203113273,999.0,-36.21003936698473,0.0
55.11274107958569,49.96515307761148,28.0,5.147588001974206,0.0
41.0998418142882,59.49268013380959,999.0,-18.392838319521395,0.0
40.22105904004302,62.313086759634366,999.0,-22.092027719591343,0.0
37.21013661099526,49.51628296510381,999.0,-12.306146354108556,0.0
89.38730268178594,74.60993257430606,26.0,14.777370107479882,0.0
32.75621125799836,84.8218047580184,999.0,-52.06559350002004,0.0
58.95732222052823,87.35031145026687,999.0,-28.39298922973864,0.0
29.691173317043308,48.96086615600726,999.0,-19.269692838963955,0.0
44.532580816895894,48.63764132381853,35.0,-4.105060506922634,0.0
51.65268214290906,106.06221080096508,999.0,-54.40952865805602,0.0
68.14961004329766,53.92212864695566,25.0,14.227481396341993,0.0
31.79463580459307,39.3510910348118,999.0,-7.556455230218731,1.0
27.087964742927852,22.665008016710452,26.0,4.4229567262174,0.0
20.004221711555523,46.102425701793415,999.0,-26.09820399023789,0.0
67.80600618280016,60.68851096262332,28.0,7.117495220176842,1.0
114.22259816440693,28.559996242018116,8.0,85.66260192238882,0.0
60.29606427324209,81.49165850556236,999.0,-21.195594232320268,1.0
26.63360486968878,92.93699156324776,999.0,-66.30338669355898,0.0
64.22681341209882,54.60746801000844,27.0,9.619345402090381,0.0
26.229030615126234,62.76644656648905,999.0,-36.53741595136282,1.0
37.37458460955426,35.15610566659092,30.0,2.218478942963344,0.0
50.041860628055666,26.779867580923533,17.0,23.261993047132133,0.0
38.059882931834544,81.35105909293974,999.0,-43.29117616110519,0.0
36.935677860568525,30.883865142909396,25.0,6.0518127176591285,0.0
30.778584028390284,43.39150170571449,999.0,-12.612917677324205,1.0
73.53486697747698,38.298527093719905,17.0,35.236339883757076,0.0
36.54497896851369,56.11059605571487,999.0,-19.565617087201183,0.0
80.84400183984765,68.30086854811564,27.0,12.543133291732005,1.0
21.918440177083447,55.644786674821965,999.0,-33.72634649773852,0.0
48.553745667289604,80.23054106939371,999.0,-31.676795402104105,0.0
26.387410317371042,34.81144316067662,999.0,-8.424032843305575,0.0
27.07394055399826,71.09004622732638,999.0,-44.01610567332813,1.0
35.0957552718171,30.938616345989743,28.0,4.157138925827354,0.0
77.46548169491363,35.17348973526113,13.0,42.291991959652506,0.0
72.32768133253953,64.25568742161352,28.0,8.071993910926011,1.0
65.4599402265006,86.17291851827252,999.0,-20.71297829177192,0.0
42.68191079283062,151.4193342305332,999.0,-108.73742343770257,0.0
46.75457617854452,118.39803712241864,999.0,-71.64346094387412,1.0
68.77185492951247,89.83542513068551,999.0,-21.063570201173036,1.0
58.03257145925785,79.89713287230519,999.0,-21.86456141304734,0.0
42.811023280814844,58.92391918481158,999.0,-16.112895903996737,0.0
62.07498862519207,68.44450284386465,36.0,-6.369514218672585,1.0
56.017325935943155,59.567485749619806,34.0,-3.5501598136766503,0.0
50.47943827920174,98.40088077830949,999.0,-47.92144249910775,0.0
34.66567256547098,72.85970259866042,999.0,-38.19403003318944,1.0
34.557254147194165,48.03194820479728,999.0,-13.474694057603116,0.0
37.48268590986608,35.226054321887325,30.0,2.2566315879787524,1.0
49.96603453103684,34.83824593200755,21.0,15.127788599029287,0.0
66.92755079743786,35.214835030235484,17.0,31.712715767202376,1.0
22.623157905283716,36.90449225582102,999.0,-14.281334350537303,0.0
17.85129164796833,26.91233682149008,999.0,-9.061045173521748,0.0
28.294505848378922,47.240660042834385,999.0,-18.946154194455463,0.0
37.364264239733,60.96960900436596,999.0,-23.60534476463296,0.0
69.7972692096974,44.61552103002025,19.0,25.181748179677157,0.0
37.23610549710068,72.28153010682713,999.0,-35.04542460972645,0.0
45.70894765618693,86.59423125806988,999.0,-40.88528360188295,1.0
54.524240496885675,77.05755170609129,999.0,-22.533311209205614,0.0
27.995327541221926,89.53468557575405,999.0,-61.53935803453213,0.0
84.67343291223801,46.77715624902173,17.0,37.896276663216284,1.0
23.138571159295182,32.30394960058808,999.0,-9.165378441292901,1.0
79.74632937689913,86.2866860426737,35.0,-6.540356665774567,0.0
32.308266341546556,45.724682272306154,999.0,-13.416415930759598,0.0
37.00189173005707,87.71666157989736,999.0,-50.714769849840295,1.0
21.735526421557438,61.21081389642941,999.0,-39.47528747487197,0.0
39.13512989563107,120.29672071792893,999.0,-81.16159082229787,1.0
115.6148918969363,30.140030236013537,8.0,85.47486166092276,0.0
47.82820873739675,66.68333902844418,999.0,-18.85513029104743,0.0
43.7147557739949,72.0036003562524,999.0,-28.288844582257504,1.0
27.70148023112292,64.90006095267839,999.0,-37.19858072155547,0.0
55.61595859672224,79.52638885192745,999.0,-23.910430255205213,0.0
36.70391770457139,42.26874542764579,999.0,-5.564827723074401,0.0
34.862374908244604,64.95206235916035,999.0,-30.089687450915747,1.0
58.30300663338117,118.1046863750334,999.0,-59.80167974165222,0.0
17.696686181396146,58.55987522997455,999.0,-40.863189048578406,0.0
43.73111625775999,31.174693640464763,23.0,12.55642261729523,1.0
24.30343126460224,53.95229687435163,999.0,-29.648865609749393,0.0
43.304907600165436,33.87157778241728,24.0,9.433329817748152,0.0
32.47689691035726,59.69317607944314,999.0,-27.21627916908588,1.0
28.0471149165381,83.60665800156528,999.0,-55.55954308502718,0.0
24.58497403539657,71.81653031542429,999.0,-47.23155628002772,0.0
75.51441915028443,66.57492888466007,28.0,8.939490265624357,0.0
30.859845456886937,108.53669636561487,999.0,-77.67685090872794,0.0
30.909169861061496,38.423622484616416,999.0,-7.51445262355492,1.0
84.73806525949391,71.22289947391059,26.0,13.51516578558332,1.0
56.56722103606848,55.03644854717541,31.0,1.5307724888930707,0.0
14.517252917402905,127.47617436505986,999.0,-112.95892144765696,0.0
75.5260789618506,68.7457622097519,28.0,6.780316752098699,1.0
94.64108689420615,101.41932505689947,34.0,-6.778238162693313,0.0
92.79339827953761,31.54775481102055,11.0,61.24564346851706,0.0
61.61733653344307,76.20831104384995,999.0,-14.590974510406873,1.0
23.02635730213451,51.81938528053637,999.0,-28.793027978401863,1.0
43.800448874312856,59.90744366450854,999.0,-16.106994790195685,0.0
22.552246601865537,47.96259881495192,999.0,-25.41035221308638,0.0
31.288112522270456,42.905550344737435,999.0,-11.617437822466979,0.0
26.882673528057076,54.07981506806138,999.0,-27.197141540004303,0.0
